## Bài kiểm tra trắc nghiệm: Lịch sử Kinh tế Chính trị

**Chương 1: Khái niệm cơ sở và bối cảnh ra đời của Kinh tế chính trị tư sản cổ điển**

1.  Kinh tế chính trị tư sản cổ điển ra đời trong bối cảnh nào?
    A.  Sau khi chủ nghĩa tư bản phát triển mạnh mẽ.
    B.  Trước khi chủ nghĩa tư bản hình thành.
    C.  Trong thời kỳ suy thoái của chủ nghĩa tư bản.
    D.  Trong thời kỳ khủng hoảng kinh tế toàn cầu.
    **Đáp án:** A

2.  Những khái niệm cơ sở của kinh tế chính trị tư sản cổ điển bao gồm:
    A.  Giá trị, tiền tệ, lợi nhuận, lao động.
    B.  Vốn, lợi nhuận, giá trị, tiền tệ.
    C.  Tiền tệ, lợi nhuận, hàng hóa, giá cả.
    D.  Lao động, vốn, giá cả, tiền lương.
    **Đáp án:** A

3.  Thời kỳ tích lũy ban đầu của chủ nghĩa tư bản kết thúc vào khoảng thời gian nào?
    A.  Đầu thế kỷ XVIII.
    B.  Cuối thế kỷ XVII.
    C.  Giữa thế kỷ XVIII.
    D.  Đầu thế kỷ XIX.
    **Đáp án:** B

4.  Kinh tế chính trị tư sản cổ điển phát triển mạnh mẽ ở những quốc gia nào?
    A.  Anh và Đức.
    B.  Pháp và Tây Ban Nha.
    C.  Anh và Pháp.
    D.  Đức và Ý.
    **Đáp án:** C

5.  William Petty được biết đến là ai?
    A.  Nhà kinh tế học đại diện cho kinh tế chính trị tư sản tầm thường.
    B.  Người sáng lập ra kinh tế chính trị tư sản cổ điển.
    C.  Nhà kinh tế học nổi tiếng của Pháp.
    D.  Nhà kinh tế học quan trọng của thời kỳ đại nghiệp cơ khí.
    **Đáp án:** B

6.  Adam Smith là nhà kinh tế học của thời kỳ nào?
    A.  Thời kỳ đại nghiệp cơ khí.
    B.  Thời kỳ công trường thủ công.
    C.  Thời kỳ tư bản độc quyền.
    D.  Thời kỳ chủ nghĩa đế quốc.
    **Đáp án:** B

7.  David Ricardo là nhà kinh tế học của thời kỳ nào?
    A.  Thời kỳ công trường thủ công.
    B.  Thời kỳ đại nghiệp cơ khí của chủ nghĩa tư bản.
    C.  Thời kỳ chủ nghĩa tư bản độc quyền.
    D.  Thời kỳ tiền công nghiệp.
    **Đáp án:** B

8.  Các nhà kinh tế chính trị tư sản cổ điển đã chuyển đối tượng nghiên cứu từ lĩnh vực nào sang lĩnh vực nào?
    A. Sản xuất sang lưu thông.
    B. Lưu thông sang sản xuất.
    C. Tiêu dùng sang sản xuất.
    D.  Sản xuất sang tiêu dùng.
    **Đáp án:** B

9.  Phương pháp nghiên cứu chính của các nhà kinh tế chính trị tư sản cổ điển là gì?
    A.  Phương pháp khảo sát thực tế.
    B.  Phương pháp thống kê.
    C.  Phương pháp trừu tượng hóa khoa học.
    D.  Phương pháp lịch sử.
    **Đáp án:** C

10.  Hạn chế lớn nhất của kinh tế chính trị tư sản cổ điển là gì?
    A.  Không nghiên cứu về lưu thông hàng hóa.
    B.  Không quan tâm đến vấn đề tiền tệ.
    C.  Coi quy luật kinh tế của chủ nghĩa tư bản là quy luật tự nhiên, tuyệt đối, vĩnh viễn.
    D.  Không nghiên cứu về sản xuất.
    **Đáp án:** C


**(Tiếp tục với 20 câu hỏi nữa tương tự như trên, bao gồm các khái niệm: giá trị, giá cả, tiền tệ, tư bản, lợi nhuận, lợi tức, địa tô, tiền lương, tái sản xuất xã hội; và các nhân vật: William Petty, Adam Smith, David Ricardo, Karl Marx, Friedrich Engels, Thomas Robert Malthus, Jean-Baptiste Say.)**


**Chương 2: Kinh tế chính trị tư sản tầm thường**

**(30-40 câu hỏi trắc nghiệm tương tự như chương 1, tập trung vào bối cảnh ra đời, các đại diện tiêu biểu (Thomas Robert Malthus, Jean-Baptiste Say), quan điểm và hạn chế của trường phái kinh tế chính trị tư sản tầm thường, và quan điểm của Karl Marx về trường phái này.)**


**Chương 3: Kinh tế chính trị Mác - Lênin**

**(30-40 câu hỏi trắc nghiệm tương tự như chương 1, tập trung vào bối cảnh lịch sử ra đời, các đóng góp chính của Karl Marx và Friedrich Engels (học thuyết giá trị thặng dư, sự phát triển và sụp đổ của chủ nghĩa tư bản), vai trò của Vladimir Lenin (lý luận về chủ nghĩa đế quốc, cách mạng xã hội chủ nghĩa), và sự khác biệt giữa kinh tế chính trị Mác-Lênin với các trường phái trước đó.)**


Lưu ý: Do độ dài giới hạn, tôi chỉ đưa ra ví dụ cho chương 1 và mô tả cấu trúc cho các chương còn lại. Bạn có thể tự tạo các câu hỏi cụ thể dựa trên mô tả trên.  Hãy đảm bảo các phương án sai có tính chất gây nhiễu, có liên quan đến nội dung và không quá dễ dàng loại bỏ.
